label	content	text2
2	how do you know if your pregnant if you have a cyst on one of your ovaries and fibroid tumors in your uterus? I am sure a pregnancy test would tell still. Go to your doctor and have them perform one.	
3	What is BIHE? BIHE Major Sectors     \n \nPharmacology\nMedical Equipment\nStomatological Equipment\nMedical Electronics\nOptics and Ophthalmology\nDrugstore and Paramedic Facility Equipment\nHealth and Beauty\nCosmetology\nDiagnostics\nHygiene\nDiet and Food Additives\nPublications and Services \n \n \nVisitors     \n \nThe exhibition is expected to attract more than 12,000 qualified visitors nationwide, as well from Georgia, Russia, Turkey, Iran and Central Asia.\n \n \n \nPlace of Exhibition     \n \n10th Anniversary Azerbaijan International Healthcare Exhibition BIHE 2004 will be held in Sport & Exhibition Complex - the best pavilion of the capital of Azerbaijan, Baku.\n http://www.bihe.az/en/2004/desc/	
8	if a girl makes fun of u then later u here her talking about u does she like u or hate u? yes i depends on the girl but most girls show afection through mockery and showing off and if they talk about u then they like u but if u hear that she tolled her friends that she dose not like u then it is mosty becasue she likes u and she does not want her friends to know so i would noot be worried	
1	What are scientific microwaves and how do they work? Microwaves are waves that are part of the electromagnetical spectrum.  The measured distance from tip to tip of the crest of the waves is what makes it considered a 'micro' wave.\n\nMicrowaves are a shorter wavelength than the electromagnetic waves that carry radio signals, but longer than those waves that our eyes can detect in the 'visible' spectrum.\n\nNASA has a very good explanation of them at the Web site below:	
4	the command lsof doesn't work on my linux machine? What version of Linux? What architecture? Without knowing this, its hard to help; anyways, here are some things that might help:\n\nTry:\napt-get install lsof\nor\nrpm -i lsof \nor, if neither of those work, go here:\nhttp://freshmeat.net/projects/lsof/\n\nat the bottom there is a list of FTP sites, you should be able to get the install package or source from there.	
8	"right in the middle of sex, what if the guy says you suck and walks out?and what if it was your first time and his thrid?If he does so, have fun with it and say, ""Ohhhh? Was that a request? Well why didn't you say so earlier!"" Keep the upper hand. Don't let his remarks get to you in any way. Its so not you."	
1	Why is math so complicated? Or am I just math-impared? Some math a lot of people learn is very complicated and frustrating. Don't blame yourself; you aren't impaired. math, like life, can get frustrating and complicated.\n\nDon't feel sad. There is a lot of people who think math is extremely complicated.	
7	which celeb do you hate most and why? Paris Hilton.  All of a sudden, she shows up out of no where and calls herself famous.  It wasn't until after everyone knew her name that she did anything to boast about (although I'd leave 'One Night In Paris' off my resume!).	
6	Is happy Hour really for Happy People? (on a daily basis)? My happiest times are at Happy Hour - I'm happy to not be at work, happy to be with friends, happy to consume cheap drinks. There is breif disappointment when the clock hits 6 or 7 (depending on the establishment), but I just stick around and wait for Reverse Happy Hour (who ever came up with that is brilliant) and my happiness is restored.  For real ... what is there to not like about happy hour (another question in itself).	
8	I like this guy, and I think he likes me but I don't know. What do I do? Ask him if he likes you. If you're a shy person, you could get a friend of yours, most likely a guy, to ask him for you.	
5	Are the AFC playoffs Just To to see who gets the honor of being beaten by Indy?I sure looks like they have it together this year.No, first of all the Steelers are an extremely tough team on the road.  Then they have to face either Denver or the Patriots.  This is not a foregone conclusion for the AFC title at all.  They could easily lose to any of the three teams left in the AFC.	
2	I am totally freak about eating tuna fish. It looks just, well, weird.?But I want to. Does anyone else have this fear? How do I get over it?First of all, why do you want to eat tunafish so badly? I mean it's a good food, but if it's unappealing to you then there's no reason you should force yourself to eat it.\n\nThe best way to overcome it would be just to eat it. But may I suggest adding a bit of mayo and slapping it on some bread?	
2	What's the healthiest way to lose weight? Do a healthy diet, lots of fruits, veggies, low fat (absolutly nothing fried), consistant amount of carbs, no excess sugar (like candy)...\n\nAnd start an excersize regiment. \n\nThis is better than any old diet etc that you have heard much press about. It will also make you feel better. Email seizethedayfitness at gmail dot com if you want more info.	
4	how do i find my old friend yaho mail address? search for it on the internet. he must have posted somewhere on some blog/ forum etc. Just search for him and his emails address will follow. Try some combinations in profiles.yahoo.com/xxxxxx	
0	What is a stinky pinky and why should I smell it? Stinky Pinky means that someone put their finger in something nasty. Usually a vagina, butt, or belly bottom. Anyway you shouldnt smell it because in any case it will be a nasty, humiliating,trick!	
9	why is there a fight between israel & palestine? because their value systems are completely different.\n\nno arab countries have yet adopted a modern position that includes the rule of law, equal rights, and the rights of the individual over the rights of the state.  Israel embodies those principles unquestionably.  Thus the conflict.\n\nunfortunately for the arabs, the rest of the world is moving away from the middle age mentality in which tens or hundreds of millions of arabs live.  Therefore you will not see an end to the conflict in your lifetime.	
9	Do you think it was time Bush called back out troops? Yes. But that would be irresponsible leadership. A president should be able to stay the course especially when comes to war. By analogy, President Roosevelt could have called US troops from Europe and the Pacific, but where would that leave the world?	
7	Where can I get a valuable trumpet spring repaired in the SF Bay Area?San Carlos shop?I can't tell you about San Carlos but there are two places in Oakland which deal with a lot of band instrument repairs. Best Repairs and Best Music.\n\nA & G Music/Best Repairs 564 14th Street Oakland 510-832-2452\n\nBest Music Company 1716 Broadway Oakland 510-832-2024	
3	i have BS (computer science) degree and i want to get MS degree of USA university and i have no mony what can? For one thing you can change what you want.\n\nA degree doesnt guarantee you a job. Knowledge and experience  will definitely get you one. \n\nSo look for a job, read more, do pet projects. When you have more money, if you still want a MS degree you can get it then.	
4	Is getting a mobo with SATA and a SATA HDD really worth the money?Is it really that much better?The price differece is usually very small, so yes. SATA is a much easier to install/upgrade system, as well as providing better overall throughput.	
6	Do guys like giving oralSEX to a girl?Do guys  like going down on a girl or do they just do it to please their woman??that really depends on the indivisual and most inportantly whether or not this is a committed relationship,however, a person who performs only upon request and never spontaneously could only be doing it just to satisfy there partner,it also depends on how well they do it too!!!	
2	does acidophilus treat eczema in children?i've read that they've found that acidophilus is showing promise in treating eczema in babies. has anyone tried this? what doses were used?Renew skin lotion from Melaluca cleared my sons Eczema up in 4 days. Amazed the doctors we had a follow up appointment on the 4th day and they were impresed.	
0	"Would anyone know what the Spanish first name ""Leidalis"" for a girl would mean? Most names in spanish here at latin america don't have a meaning. Parents just like how it sounds and most of the time they came up with the whole idea of the name by themselves.\nSorry"	
4	"direct connecting windows xp and windows 2000? Get a hub or switch.  Some can be had for very very little if you shop a bit.  < $10.  Then network them together.  Setup both in the same ""workgroup"" under the control panel, system, computer name.  Then share the drives to start putting data back and forth."	
0	if ur boyfriend wears a condom will the doctor be able to see if yall have had sex?he always wear a condom before we have sex but my mom want to get me tested to see if i have had sex because she dont know i doWell, the doctor can only know if the hymen is broken.  Most frequently this is from sex, but not always.  There are various activities that will break your hymen that don't involve sex at all.  So while it's probable, it's not 100% accurate.	
5	I am A novice Little League Mgr. Where can I find coaching for Dummies?I know nothing about baseball. I have a team counting on me. I have no skills or ideas as how to proceed in helping these children.I had to fill a spot because no one would step up.Here is a good start.\nhttp://eteamz.active.com/baseball/instruction/tips/\n\nLots of good tips.  Most of all,  make sure the kids have fun.	
4	How would u find out whether a device is acting as a host or a router using an SNMP command? Mind you that many hosts (e.g. workstation, laptop) do have multiple network interfaces and could technically act as a router.\n\nIn that case if you are an authorized SNMP manager, you can try to view the machine's ipRouteTable (more on that see http://www.faqs.org/rfcs/rfc2096.html.)  The table's content would tell you if this machine is configured to route/forward IP packets, hence acting as a router.	
8	is it true that what attracts girls mostly in a man is: his shoes, hands & look of his eyes??? First thing I usually notice is a guy's eyes then immediately after would be his smile. Clothes or shoes, unless it's something really extreme (extremely dirty, flashy and bright, etc) I usually don't take much notice to. As of hands, I would eventually notice them, but not till after I've talked to him for a bit.	
3	"What is difference in 'paperback' & 'hardcover' books except the physical difference of soft and hard cover? Apart from cover quality, paper quality, print size and layout may differ. Hardcover usually comes in stitched binding which is very durable compared to glued binding. Nowadays, there is an in-between stage called ""trade paperback"" which has larger print and somewhat better binding than mass market paperback, at usually 150-200% the price of mass market paperback."	
7	*  Would you like to be famous?  In what way?*  Ques. taken from a book.  Not my ques.  Curious to hear your answers.\n\nI would like to be a famous runway model or a movie actress.I would not like to be famous. You lose your privacy. I would, however, like to be rich.	
9	Who was President during our war with Mexico? What was the rational for the war? What was the result?On what basis was the war with Mexico justified?James Polk was President\n\nIt was allegedly caused by tensions developing from Texan expansions by US settlers, but really it was mostly a Manifest-Destiny style takeover of land.\n\nTechnically, we invaded them, and a skirmish happened, so we declared war and said we'd been invaded.	
0	who is the Hazara people in Afghanistan what is their bage-ground and what is their population? The Hazara ethnic group resides mainly in the central Afghanistan mountain region called 'Hazarajat or Hazaristan'. They make up anywhere between 19-25% of Afghanistan's population, but an accurate census has not been taken in decades so there is little information to verify at present. There are also significant populations of Hazaras in Pakistan and Iran.	
6	"How do I contact the FBI to report interstate fraud? You can visit the FBI website at www.fbi.gov or you can locate your local FBI office on the link listed below. Just click on the ""Your Local FBI Office"" link on the top left hand side of the page.\nGood luck.\n\nhttp://www.fbi.gov/contact/fo/fo.htm"	
0	if God can do any thing can he make a cucmber so big he couldn't eat it?then that would be something God could not do. but thats imposible.Why would he want to do that?\n\nBesides he doesn't have to prove anything to us. He is all powerful anyway.	
7	Are capricorns attracted to women older than them ? I'm a capricorn girl but I don't know if we are attracted by older persons all I know is that intelligence and expérince attrack us so these criteria suit well with maturity.	
0	would a minimum wage increase be negative or positive, and whichever it is, why? An increase in minimum wage means that many people would loose their jobs.\n\nThe cost of continuing to employ the same number of people would increase when the minimum wage is increased in certain types of companies.  When the price of hiring more people (or keeping the ones you have) increases, your demand for those people goes down.  Many companies would hire less people, if not fire some that alread have.	
2	IS IT BETTER TO COOK IN A CAST IRON PAN THAN TO COOK ON STAINLESS STEAL? Cast iron increases the iron in your foods.  If you are anemic, this is the best cookware to use and stay away from nonstick pans.  I got this info years ago when I was anemic but don't remember where it came from.  I also think the food comes out better.  The downside - it's very heavy.	
2	when someone gets a UA, for probation, how long does alcohol stay in your system? Alcohol can't be detected in a UA, because alcohol doesn't exit your body in your urine. It is broken down in your kidneys.\n\nBut if you have alcohol in your system its probably not a good time to go see your PO and take a UA.\n\nDon't do ice!	
9	Do we really need the draft?does the selective service need to be activated, or does america need to reduce troop deployment?Your question is comparing apples to oranges.\nThe draft is an emergency-only, time-of-desperate-need usage only option.  That we ONLY have the 'selective service' requirement, and that is only until you are 25 years old, is a great thing compared to other countries.  In many, you are REQUIRED (they don't care what you believe) to serve 2 years in the armed forces, no matter what.\n\nCount your blessings that you are American.	
9	What are the things on soldiers helmets that look like they might be cameras? The item that you most likely see is a pair of night vision goggles. \n\nThey are attached to the kevlar helmet by a mounting bracket which can either be flipped down so that the goggles are in front of the eyes, or it can flipped up when not in use. Either way it offers a hands free environment for the soldier to work with.	
0	"i am wanting to get a visa for a women in Russia?I was wondering the approxtamate cost, length of time it takes ,and is there any way TO PROTECT FROM FRAUDWhen u find her, see if she's got a 6'5"" 220 lb blond hair blue eye brother or friend who plays a mean game of hocky for me!!!  I want a mail order man too!!!\n\nI want to give birth to the next legendary hocky player...I think Russia has lots of strong strapping men!!!"	
2	shaving balls?what is the best way to shave your balls(i mean the balls not the area arround your penis.and do the ladies like it better?I, personally, don't care for the shaved ball look.. Trimmed is better.\n\nDon't use electric shavers.  My best advice is to do it in the shower, pull your skin tight and shave with a clean new blade.  don't get too crazy, cause you REALY don't want to cut yourself!	
6	Can the sex of a planned birth be selected today using modern medicine techniques? theres ways to make it so it can most likely be a boy or a girl.\nbut theres no way they can make it happen for certian truth=u have wut ur going to have	
8	"what is the greatest weakness of a man. How can a woman make him love her? All I have to say about that is the way to get a man to NOT love you is to look for a ""weakness"" to exploit.  Just be yourself."	
5	Is playing soccer for the Junior Varsity Team and being a straight a student hard to do?I am going to try out for the team in the spring, and I just want to know what I'm in for.nah cuz im a varsity soccer player  a varsity cross cross country runner and varsity track runner and i have a 4.0 and so does that person above me, so its not that hard.\n\ngood luck!	
3	I have this riddle that I can't solve. Help?!?A boy lives on the 25th floor of an apartment and takes an elevator to the first floor everyday so he can go to school. When he comes back, he takes the elevator to the 23rd floor but walks the remaining two stories. Why did he walk the remaining two stories?Because he is too short to reach the 25th floor button.	
5	Does ne1 play lacrosse if so do u enjoy it? I played last year, and for the rest of my highschool career. Once you get cradling down your just about there. the whole team is involved and its just a great overall sport. We made Greater Boston Champs last year. Go Waltham Hawks.	
3	if im a new girl in school and i am verey nice and havent made any friends wat should i do? just continue to be nice. i don't want to be the one to tell you this, but it does take a few days for people to warm up to a new person. but hopefully they won't be cold to you. just be yourself, you'll make plently of friends!!!	
7	"When is ""Brokeback Mountain"" playing in Wyandotte,Mi???????zip code:48192Wide release is expected to start on January 6 with a plan to be at more than 300 theaters by Jan. 27, right before the Academy Award nominations are announced.\nIt could be pushed to earlier dates depending on the response of the Platform Releases and of course, making sure it doesn't clash with a big studio blockbuster release either."	
2	Has anyone had vision correction using Verisyse?I'm very near-sighted, and this appears to be my only option. Curious to see what results have been with others.Yes, I sister just had her vision corrected 3 days ago.  Was that the only option your doctor recommended?  I just had consultation and my doctor said that I don't qualify for that because my pupil size is bigger than 7.5.  Do you know anything about that?  You can e-mail me at veecherd@yahoo.com\n\n-Vee	
0	de best most deep way to show lov is by? The best way to show love is by living it.  Love is not just an emotions, it is a binding force.  \nAllow yourself to feel with the other feels, think what the other thinks, dream what the other dreams.  These will happen by themselves.  All you need to do is to allow for them to happen.	
7	Connect Kevin Bacon to Arnold Swartzenager (sp) useing 6 steps or less (like 6 degrees of Kevin Bacon)? Arnold Schwarzenegger can be done in two.\n\nArnold Schwarzenegger was in Red Heat (1988) with Laurence Fishburne \nLaurence Fishburne was in Mystic River (2003) with Kevin Bacon	
8	Are females looking for there father in a guy? Not necessarily their father. My father was a jerk and thus not what I want, and guys who act like him or even sound a little like him are a big turn-off. But one of my uncles was my big male role model, and I often find myself with guys a lot like him. The boyfriend I dated the longest even had nearly-identical handwriting...it was kind of funny, really.	
0	is there a god? I believe there is no God, is just the ignorance, when our ancestors watch the sun they believe it was God, now we know it is just a star. \nWhen someone did not understand something they bring magic ideas like Gods and Designers.\nI just accept that I do not know everything, and I am happy with it.	
0	Is there an 11 year old in Texas that is single that lives in Irving?Im single and i need a girlfriend that is cuteYou are 11, you dont need a girlfriend, if you advertise yourself then you either will fall victem to a child molester or you are yourself a child molester.	
6	Is a Nevada corporation really that much better than a colorado or utah corporation?I understand that Nevada corps have more privacy built into them, and that one can utilize a charging order if you get sued, and basically continue to control the asset.  \n\nIs that reason enough to go with a Nevada Corporation or LLC when owning real estate?It is and it is why more Nevada and Delaware corporations exist than any other state. The only place to gain more privacy and even more pro-business leverage is from the country of Panama.	
2	what is the cure for taenia cruris or jock itch? Jock itch is a fungus.\n\nJock itch is best treated with topical creams or ointments since the fungus only affects the top layer of skin. Many of the antifungal medications require a prescription, but there are three that can be bought over-the-counter (OTC). The OTC antifungals are tolnaftate (Tinactin), clotrimazole (Lotrimin), and miconazole (Micatin).	
6	Whats the strongest gun ?besides rocket launchersMost would say that the .45 Magnum is the most powerful handgun. I digress however and say that the .500 Magnum is more powerful. A ten gauge shotgun is the most powerful legal shotgun. The M1A2 tank is considered the most versatil and powerful tank in the world.	
1	why salt will be spread on snowy days? Contrary to popular belief, salt does not react with ice to make water. Instead, since salt can be soluble in water, it lowers the freezing point to about 0 degrees Farenheit. So as long as it is above 0 degrees outside, salt water won't freeze on the roads.	
1	Treating Molten Sulfur with Chlorine Gas?Disulfur dichloride, S2Cl2, can be made by treating molten sulfur with chlorine gas, according to the following unbalanced equation:\nS8 (l) + Cl2 (g) ----> S2Cl2 (g)\nHow much S2Cl2 (in grams) can be produced if you start with 30.54 grams of sulfur, and 100.62 grams of chlorine gas?S8 + 4Cl2 -------> 4S2Cl2\n32x8  4(71) ------>  32x8+4(71)\n256   284  ------->   540\n1     1.11 -------->  2.11\n30.54gms of sulfur will react with 100.62 grams to give  64.42 gms	
1	What would happen if  you didn't have bacteria in your body? Bacteria assist in digesting food, but are not required (see the Wikipedia article for a reference). Without them, a person would require more food, and may have other health issues, but would be unlikely to die.	
3	Describe how knowledge as a competitive advantage can be negative or positive? Before I get into the iProceed Principles of Competitive Strategy, here are a few things that I prefer when I help a firm define its basis of competition:\n\n* Think primarily from your perspectives, rather than your own. \n\n* Think positive competition (Why should our customers do business with us? ) versus negative competition (Why should our customers not do business with our competitors?).\n\n* Unless you have the scale advantage.\n\nAlways think positive even you are a loser!\nhttp://www.iproceed.com/growth/competitive-strategy.htm	
4	How cam i see if one the id's in my list in Yahoo Messenger is invisible?? I have my friends from messanger on my address list.So, when i want to find out if they are on and are playing tricks on me, i go there, and it will show either a lit up face or faded on.I than go back and on my messenger they appear off.So i bug them and talk to them.	
6	DO YOU THINK PUERTO RICO SHOULD BE A STATE OF THE UNITED STATES?PUERTO RICO IS AN ASOSIATED FREE STATE AND THEY ARE TRYING TO MAKE IT A STATE. THE UNITED STATES HAS HELPED A LOT OVER THERE SO WHAT YOU THINK?everyone from PR that i know kinda considers themselves part of the US anyhoo..and since long distance calls to PR costs the same as the US we mine as well ...but..it would change their government and my friends liek their goverment as is.	
4	what is distributed computing? Distributed computing is a science which solves a large problem by giving small parts of the problem to many computers to solve and then combining the solutions for the parts into a solution for the problem.\n\nOr:\na computer system in which several interconnected computers share the computing tasks assigned to the system	
3	Can you or your partner get genetel herpes if neither you or your partner has it?what I mean is that my friend or her partner doesnt have it. can they get it if they dont have it? I there any other way to get genetel herpes other than sex?The only way to contract genital hepes is through sex.  That includes anal sex and oral sex though.	
6	What company will Microsoft buy next? Its been speculated MS wants to buy AOL. MS has been wanting to expand its online marketing engine, and has been eyeballing AOL for a couple of years now. However, in recent news, Time Warner will not sell AOL, rather they say they want to partner up with another company to leverage its online marketing ads.	
6	how to grow X'mas Cactus in Florida?  Lot of sun and water? I'm in California, and I always protect my Christmas cactus from direct sun and let it dry out between waterings. I have one that's more than 20 years old! :)\n\nI would say, lots of indirect light, and infrequent watering.	
6	How can I remove myself from credit card mail solicitation lists?One of the downsides to having good credit is all of the offers I receive.You can opt out of credit offers from all three agencies via a website. See the links below.	
9	how many jews are there in gainesville, fl? The Census does not ask about religion, because it is prohibited by law, so there is no information on so detailed a level. However, the Statistical Abstract of the United States has a table of populations that self-report as Jewish in each state. The latest data says 620,000 in Florida. Assuming Gainesville has an average percentage of Jewish community, that would mean that there are roughly 3,700 Jews in Gainesville.	
2	what's the best option for individual heath insurance for people in their 20s who can't get it through work? I use Blue Cross.  They have some very low cost plans that cover you in case of a major health problem.	
8	Do u think that i should meet people online? Sure, just be careful.  But you should be careful no matter where you meet someone.  You have just as much of a chance of meeting a serial killer on-line as you do in a bar...  I met my husband online and he isn't a serial killer, at least not that I know of :)	
2	how do you make a poltis to draw puss out of a boil?My granny used to put things together in a bandage and put it on a wound or boilIt's spelled poultice, so that's probably why you can't find any info on the web.\n\nhttp://www.health4youonline.com/nutrition_facts_boils.htm\n\nhttp://waltonfeed.com/old/mama/poltice.html	
0	"why  is five  called five and not seven or eleven?i would like an answer? The term ""five"" was actually coined by Abe Lincoln during the Great Depression.  Before then, people just held their breaths between four and six."	
1	what is the mesurement of wieght in a stone to pounds? 1 stone = 14 Pounds\n\nA bit more...\n\n16 drams  = 1 ounce  \n16 ounces  = 1 pound  \n7 pounds  = 1 clove  \n14 pounds  = 1 stone  \n28 pounds  = 1 tod  \n112 pounds  = 1 hundredweight  \n364 pounds  = 1 sack  \n2240 pounds  = 1 ton  \n2 stones  = 1 quarter  \n4 quarters  = 1 hundredweight  \n20 hundredweight  = 1 ton	
4	my outlook is running really slowly. can this be bacuse I have too many emails in it ? If you have over 350 emails in outlook I advice you to backup your emails and delete them from outlook. You can do this by exporting your messages from File menu.	
0	According to the Bible, the  earth was created about 10,000 years ago....?So why are scientists finding human remains millions of years old?According to the bible the earth is about 6000 years old. Sceintists really don't know how old the earth is.  They guess, and then then present their theories as fact, which is unscientific behavior. They try to use carbon dating but that is not accurate. It also assumes time is linear.  Time is non-linear. Scientists put dinosaurs before man, but there is proof that they co-existed..	
6	is it good habit to keep ur PC on when u r going somewhere for 5-10 minutes?i dont like to on it again n againYeah you can simply lock it, if you are using window XP. You can use Ctrl+Alt+del or WindosButton+L	
0	are there any muslim parents out there to answer this question?if i was your daughter aged 13 what would the clothing changes i would have to make.  i live in the us so i am used to western clothes.  pleasse list changes so i know what to expect when i revert to islami am really glad to hear from you this question, sister you should cover the hair and wear non tight clothes, only hands and face can be non covered, wish you all the best sister :)	
1	Is there a formula for choosing when to stop checking the price of goods?I recall reading years ago that if you want to buy petrol/gasoline at the cheapest price, you are to buy it at the first service station whose price is lower than that of the first service station you see. Is there any truth in that suggestion?My idea is negative.	
2	Does anyone know of free dental services in Los Angeles?  I have one hell of a toothache!? If you have a tooth ache due to infection, you might try useing a warm saltwater( table salt and warm water) rinse. Along with a 4:1 water and hydrogenperoxide (4 parts water i part h.p.0.). use both switching each time until pain is less.	
7	Did Johnny Depp based his Willy Wonka persona on Michael Jackson? According to Johnny Depp, no.\n\nBut really, if you were asked to create a reclusive millionaire obsessed with children who had an abusive father, who would you think of first? ;)	
2	Why is it desirable to have a 'grill' on your teeth in the hip-hop community?You know?...the gold caps and designs. They even have a whole song dedicated to this trend playing on Mtv.I think pearly whites are better vs putting any type of rare metal in your mouth.	
4	Replying to answers sent?I have been trying to thank everyone for replying to my question and let you all know that I have sorted it out but any email I sent was returned and I am using this way as the last resort Thanks TonyThat's very nice of you.  You can also add comments when you choose the best answer, and use it to thank the individuals who answered.	
4	how do you find the address and/or phone number of someone on the internet for free?I think i am in love with my best friend but he now lives in New York and i live in Louisiana i havent seen him in 4 years but last time we spoke he told me he had wanted to get with me since we were kids and i have always felt the same way but we lost contact. How can i fing him?Free Online Searchs\n\nhttp://people.yahoo.com/\nhttp://find.person.superpages.com/\nhttp://www.whitepages.com/\nhttp://www.switchboard.com/\nhttp://www.iaf.net/\nhttp://www.usa-people-search.com/\n\nPaid Services\n\nhttp://www.lnvestigator.com/\nhttp://people-search.com/\nhttp://www.peoplefinders.com/\nhttp://find.intelius.com/	
4	Is there a site that offers free web hosting with no banners?Also should NOT require domain registration, forum posting or anything like that. Scripting and database access a BIG plus.\n\nIt can be invite-based, if you have an invitation to offer me.www.freewebs.com	
2	can u get pregnant if your not on your period? Yes.  Actually, you are more likely to get pregnant when not on your period then when you have it.  Remember, you can get pregnant at any point during your cycle.	
2	what medication can you priscribe for the cure of typhoid fever in a patient?Please, I need urgent answerSalmonella typhi is similar to other salmonellae in that it is a gram-negative, flagellate, nonencapsulated, nonsporulating, facultative anaerobic bacillus that ferments glucose, reduces nitrate to nitrite, and synthesizes peritrichous flagella when motile. \n\nBeing such, you can use chloramphenicol, ampicillin (or any penicillin), Trimethoprim/sulfamethoxazole, Ciprofloxacin (or any quinolone), a 3rd generation cephalosporin, or azithromycin.	
6	what is the name of the sudoku type game in which you have to get a ceratin sum? Paul Muljadi discovered magic Sudoku, a Sudoku which contains at least one 3x3 normal magic square anywhere in the solution grid.  The magic constant of a magic square is the sum of numbers in any row, column, and diagonal of the magic square.  The magic constants of normal magic squares of order n = 3, 4, 5, … are\n15, 34, 65, 111, 175, 260, 369, 505, 671, 870 ...	
4	I have erased a trojan. My PC is still sending many e-mails to people to buy viagra. How can I stop this?I need to stop my computers sending the e-mails its blocking my system.  The trojan is gone the problem is the automatic sending of e-mailsDownload and install AVG Anti Virus (the free edition) http://www.grisoft.com/doc/289/lng/us/tpl/tpl01\nAfter installing, Check for updates and scan all files.\n\nTo be safe run an onlne ANti Virus scan at McAfee\nhttp://www.grisoft.com/doc/289/lng/us/tpl/tpl01\n\nand also an online scan at http://www.pandasoftware.com/products/activescan.htm(Panda Anti Virus)\n\nand also and online scan here:\nhttp://housecall.trendmicro.com/\n(Trend Micro Housecall Anti Virus)	
0	As per tradition, when should Christmas decorations be taken down??? Tradition can also be based on religion. The original 12 days of Christmas started on Christmas and ended on January 6, the Feast of the Epiphany, or 3 Kings. The celebration of when the 3 Kings would have arrived to celebrate the Christ Child's birth, so the religious tradition is to keep the decorations up until that day.	
2	"i face the problem with my wife at the time of having SEX. (1) I eract early. (2) one noice it creats.?my penis size is big.The noise is your wife crying ...as you ""eracted"" too early and are probably asleep 10 seconds later"	
6	I closed a mail account.?Will the close account send a message to the sendernot a clear question, you can never close a mail account, if you stop using it for 2 to 3 months it closes automatically, but you cam still revive it in a certain time limit.	
9	Do ID cards help or hinder fraudsters? Until the card is regularly scanned along with biometric data or lets say a ring or implant\nI like ring\nbecause it doesnt raise organic complications\nwith 500MB of data on it\nyour personal database and the FBI's tºº	
4	"How do I get a list of what's on my computer""s hard drive? If you want a list of files, then open a command prompt, go to the root of each drive and do something like:\ndir /s >list.txt\nTry dir /? to see various other switches you can use."	
1	"Why is the sky blue? the color blue is due to the enission spectrum of the light comming from the sun \nthats why when the sun changes position the color of the sky changes\nby the way blue sky means the atmosphere cuz in outer space every time u go ""up"" u will get away & away from the sun so it will be total darkness"	
1	"Why do objects in a spoon when reflected tend to appear upside down? Think of it this way... when light hits one side of the spoon curve, it bounces off and hits the other side of spoon curve and councer back at close to its original angle. In this way all the light wavesswitch sides, producing an ""upsidedown"" image."	
0	Will we know people when we get to heaven? I think we will.  I think we will see all our loved ones that have passed and made it through the gates.  It makes the thought of death less scary to know that we will be reunited w/ family.	
