label	text1	text2
1	my son , an avid skateboarder , sat me down and made me watch this with him . as i love documentaries , it did n't take a whole lot of pressure on his part . the whole amazing story of it all - a bunch of dirt - poor kids drift together and end up creating something revolutionary out of thin air - well , more out of some wood , wheels and lack of waves to surf - it just floored me . it still does . i did n't think i would enjoy it the way i	
1	and what is its genre ? the backstage expose story ; what theatrical life is really like behind those broadway ( and other ) curtains . it certainly has a lot of competition : singin ' in the rain both i and ii ( 1929 and 1952 ) , 42nd street , golddiggers of ( you name the year . ) ; dames of 1934 ; noises off ( 1992 ) from the farcical side and a star is born i and ii from the 1930s and the 1950s from the tragical side : not to mention summer stock of	
0	i was intrigued by the nasty boss character as i am one myself , and the actual boss 's daughter was attractive and it was interesting to see an even younger ashton kushner , but this movie is so puerile i had to turn it off . it was a waste of time to watch it . when people started peeing all over the living room , it was too much to watch . painful , awful crap movie . if they had just toned it down a little . are there really people out there that find it funny	
0	i know terry gilliam is considered as a good director but claiming that this movie is good is just foolish . what was the movie about ? what is it a spoof ? fantasy ? comedy ? satire ? no answer there from gilliam 's screenplay . totally confused and pointlessly hurtling from one historical age to another . i find it amusing that some people actually call this movie magical . is it because they have to praise any movie which is vague and indecisive on what it is about ? ? 3 stars for special effects considering it	
1	mr. bean has shaped the face of british tv comedy . he has proved that you do not need wicked words or wit , a massive budget , a great deal of intelligence or even any intelligence to make something brilliant . and mr. bean is one of those characters who you just ca n't forget . some of these episodes had me in stitches - yes , they 're not realistic at all and they 're all pretty stupid , but to be honest , realism is one of the barriers bean has broken on its way to greatness	
1	"every episode i saw when i was an innocent child was stupid . there were some funny looking puppets called "" the mitts "" who would always discuss childhood things . they would play this song before "" the mitts "" part of the show that goes like this "" let 's join the mitts ... "" there was a groucho marx puppet that told jokes . before the session , this man would sing "" hot fudge ! right on ! "" there was a green puppet with teeth that was called seymore . we would always see more"	
1	the man with a golden arm was one of a trio of great films around that same time that dealt with drug addiction . the other two were monkey on my back and a hatful of rain . but i think of the three this one is the best.<br /><br />maybe if otto preminger had shot the thing in the real chicago instead of those obvious studio sets the film might have been better yet . who knows , maybe preminger could n't get enough money to pay for the location . it 's the only flaw i find in	
0	in the mid 1800s , irishman dennis hopper ( as daniel morgan ) emigrates to australia , seeking a share of the continent 's gold . instead , mr. hopper finds himself branded , and thrown in a torturous prison ; there , he is gang - raped . upon release , hopper hooks up with aborigine david gulpilil ( as billy ) , with whom he seeks revenge upon sadistic bill hunter ( as sergeant smith ) , jack thompson ( as detective mainwaring ) , and others . eventually , vengeance becomes heroism ; hopper is admired and	
1	one of eastwood 's best movies after he had separated himself from the westerns . which in themselves were good whenever i had a chance to see any of clint 's earlier work i would sit in front of the set and watch whatever was on .	
1	< br /><br />***************************mild spoilers ahead**************************<br /><br />we dive at dawn is an english made movie with john mills in the lead role . the second time i watched the dvd version was on a big screen tv and i must say the movie is better than i thought the first time i saw it on the samll screen . may be it was the big screen viewing that helped?<br /><br />i still say the first few segments of the movie are muddled , but once the submarine leaves the dock and begins its mission , the movie takes off	
1	preston sturgis ' the power and the glory was unseen by the public for nearly twenty or thirty years until the late 1990s when it resurfaced and even showed up on television . in the meantime it had gained in notoriety because pauline kael 's the citizen kane book had suggested that the herman mankiewicz - orson welles screenplay for kane was based on sturgis ' screenplay here . as is mentioned in the beginning of this thread for the film on the imdb web site , kael overstated her case.<br /><br />there are about six narrators who take turns	
0	i live in mexico city , so i have to suffer throug the trailers for every piece of trash that comes out from all these stupid mexican filmmakers . you want to admire a mexican guy for making great films ? take a look at something by guillermo del toro ( specially the devil 's backbone ) , or maybe alfonso cuarón ( though i really do n't like his films , but i respect them).<br /><br />mexican filmmakers often produce some of the most terrible utter trash ever ( por la libre , el segundo aire , american visa	
1	opera ( the u.s. title is terror at the opera ) is somewhat of a letdown after some of dario 's other movies like phenomena , tenebre , and suspiria . ( i still ca n't find inferno anywhere . ) it 's one of those movies that has a great first half but midway through it 's like someone started slowly letting the air out of the screenplay and logic.<br /><br />the basic plot involves a beautiful opera singer who is being stalked by a deranged obsessed fan . this killer begins killing people close to her in a	
1	i 'm glad i read the sarah waters novel first , since i had my own pictures of the characters in my head at the time . the ones cast for this production , however , were not at all disappointing - in fact , after i got used to rachael stirling as nan , i think nina gold did a damn fine job in the casting department . ( can keeley hawes be more delicious?!)<br /><br />the bbc has done it again : this is a wonderful production of a very good book , and they have done it	
1	"everyone is entitled to an opinion . the only critic who counts is yourself . i think this is a great movie . much better than the original.<br /><br />in "" caddyshack "" , rodney dangerfield is funny , but obnoxious . he was asked to do the sequel , but things got in the way . jackie mason shows the saying that "" less is more "" . he is funny , but a man with real family issues , a more rounded person . it 's no drama , but a movie that makes you feel . actually"	
0	star trek v definitely earns the dubious distinction of being the weakest film in the star trek series . despite the good acting efforts by the actors , it suffered from a general lack of funding from paramount pictures . paramount pictures was not enthusiastic about this film at its very onset.<br /><br />the movie begins with the enterprise crew enjoying their extended shore leave as a reword for saving the earth from total ecological disaster . their shore leave is cut short when a disturbance occurs on nimbus iii , the planet of intergalactic peace . captain kirk and	
1	this two disc set is incredible ! if you 're like me and never had the opportunity to actually see the band live , then this is the next best thing . jimmy page , who in my opinion is the second best guitarist ever to walk the face of the earth ( second only to slowfingers himself ) , he puts on an amazing show in every piece of footage in this film . john paul jones , although not as up front as page , puts on one hell of a show . although in the live atmosphere	
1	i saw this movie in the theater when i was 14 and it changed my life . i immediately cut off my hair and began buying all of the records of the bands in the movie . these were some of the seminal bands of l.a. punk rock caught on film at the peak of their powers . bands like black flag ( pre - rollins ) , circle jerks , fear , x , and the germs have few equals in the history of punk music . i ca n't believe this film has never been put out on	
0	"how i deserved to watch this crap ? ? ? worst ever . the acting was awful , when i read that this was a comedy i expected at least to smile , once - or twice , but .... if you are wiling to loose hour and a half of your lives , this is the right movie . i recommend just look in a wall or something , anything else but watch this "" film "" . yoy can even watch a documentary ( if you are a guy ) about pregnant women , i guarantee it will"	
0	return to sender , a.k.a . convicted , is almost imperfect . the one good thing about this particular film was that i was never bored . that being said , the reviews that hail this movie as a low - budget success may not have watched the same movie that i saw.<br /><br />rather than write a review and tell you what happens and what works and does n't work , i will simply comment that nothing works . there are plot holes in this movie that you can drive a semi through . the acting in the film	
1	i got a chance to see this movie at an early screening in brea and i have been crazy for it ever since . the film is based on shakespeare 's twelfth night which i have read and loved and seen on stage a few times so i certainly liked the references . but whether you like shakespeare or not it wo n't matter - the movie stands on it 's on . it is super funny , witty and charming . amanda bynes is hilarious and so was david cross . actually the whole cast is great - i	
0	some may go for a film like this but i most assuredly did not . a college professor , david norwell , suddenly gets a yen for adoption . he pretty much takes the first child offered , a bad choice named adam . as it turns out adam does n't have both oars in the water which , almost immediately , causes untold stress and turmoil for dr. norwell . this sob story drolly played out with one problem after another , all centered around adam 's inabilities and seizures . why norwell wanted to complicate his life with	
1	better than i expected from a film selling itself on the premise of nymphomania and inter - racial bondage . the music is great , and cinematography focuses greatly on turning ricci into a trailer trash betty paige and it works . samuel l. get 's to shout a lot , which he 's good at , as well as play lots of blues guitar , which he looks cool doing . even justin timberlake was decent as the mentally disturbed boyfriend . i get the feeling that this material under anyone else would have been complete s*% # ,	
0	tv director uses astral projection to kill people taking the form of the blue man.<br /><br />dull uninvolving horror film that kind of just sits there before your eyes and makes you wonder why you are watching it . i sat through the film to the end and i really ca n't give you more than a cursory account of what the film was about because i kept finding my attention diverted by other things.<br /><br />i ca n't really recommend this . i think my feelings are best summed up by the fact that i paid a dollar for	
0	first of all , this movie is gross to the point of nauseating , and my advice is to avoid it at all costs if you ever want to eat ice cream again . i tried watching it because it looked like it might be funny , but it soon became quite disturbing with the ice cream made out of body parts and surprisingly graphic effects . it opens with a boy named greg witnessing the gruesome murder of an ice cream man ( greg subsequently goes crazy and grows up to be the title character ) by what appear	
0	"this is a family movie set in 1950 's rural america about a boy whose uncle presses sheep killing charges against his dog drum , starting not only a family legal feud but community discord as their town begins to take sides.<br /><br />this is formula film that attempts to be very touching and sweet . its biggest weakness is that the only people who could really act were scott bakula ( defense lawyer ) , ron perlman ( father / drum 's owner ) and the dog . ( john shuck and kathy garver , "" sissy "" from"	
0	"this film has been lauded to the point of the ridiculous . "" american movie "" is a boring documentary about a boring person so ordinary you 'll find equivalents on just about every corner in america . it takes a long , hard look at a guy who 's failed at just about everything in the interest of making an independent movie .. or two . were his failures for other than his own selfish pursuits or were they in the name of real art , the movie might have had a chance . america has an abundance of"	
0	all grown up is basically a spin off and not much else of the original nickalodeon rugrats cartoon that featured the babies tommy pickles , chucky finster , lil and phil deville , angelica , susie and ( later ) kimi ( chuckies sister ) and dill ( tommy 's brother ) . i grew up with rugrats and thought it was a great cartoon . it had excellent humor , nice stories and the show 's creators , klasky & csupo , were obviously very original and creative with the concept of the adventures of babies . the new	
1	a remake of the 1916 silent film , based on the 1909 novel by maurice leblanc . the detective series would be made into numerous plays , films and tv series in the uk , the us , and france over the years . this 1932 version starred the smashing barrymore brothers john ( as the duke ) and lionel ( as detective guerchard ) . they would also star together in grand hotel , dinner at eight , and several others over the next couple years . sonia ( karen morley ) shows up in the duke 's bed	
1	i 've seen the previews everywhere before deciding to watch it . and what do you know , i actually liked it ! it has a new twist of the 18th century england . although the music in the dance scene were obviously modernized and also the colors of liv tyler 's clothers ( although it is pretty ! ) , it fit quite perfectly.<br /><br />if you just want a good time , you should check this out . very different from other 18th century detailed films .	
0	"if i were to pitch this movie idea to some hollywood bigwigs , i 'm sure it would sound like this : < br /><br />me : "" four boys at a private high school are good friends , and they are witches."" < br /><br />hollywood : "" that sounds like "" the craft . "" < br /><br />me : "" no , no , i said four boys , not four girls . "" < br /><br />hollywood : "" that still sounds like "" the craft "" , just with boys instead of girls . """	
1	englar alheimsins are very good movie . she happen on a mental home in iceland . ingvar e. sigurdsson is in a leading role and is good . other good actors in this movie are baltasar kormákur and bjorn jorundur . i like this movie she is very good . i voice with this movie .	
0	"okay , enough . every time i think i 've seen a film that is so misbegotten , so bad in every way that i think that no one could possibly find something to praise , i just come to the imdb where i 'm greeted with the usual inane "" undiscovered masterpiece "" "" great film "" - i mean , honestly , what movie are you people watching , because it 's certainly not the mess i just watched on the new fox / mgm / ua dvd . there are about three amusing lines , and a"	
0	"a feminist tract in which if you the viewer believe that : i ) wild animals are seldom tamed by singing but instead attack , kill and eat ( the line that grizzlies never attack unless provoked was a hoot - unless "" provoked "" means that it sees flesh ) ; ii ) homosexuality is both immoral per se -- and its acceptance almost always associated throughout history with signs of a society 's dissolution and decay iii ) few women are bisexual ( in this one , virtually every woman is presented as having no preference for men"	
0	* * * spoilers * * * * * * spoilers * * * some bunch of afrikkaner - hillbilly types are out in the desert looking for diamonds when they find a hard mound in the middle of a sandy desert area . spoilers : the dumbest one starts hitting the mound with a pick , and cracks it open . then he looks into the hole and sticks his head in and surprise ! something eats him . the other two dimwits are not seen alive again . scott bairstow looks like a pizza delivery boy but he	
0	blind date ( columbia pictures , 1934 ) , was a decent film , but i have a few issues with this film . first of all , i do n't fault the actors in this film at all , but more or less , i have a problem with the script . also , i understand that this film was made in the 1930 's and people were looking to escape reality , but the script made ann sothern 's character look weak . she kept going back and forth between suitors and i felt as though she should	
0	christopher lambert attracted me to this movie . what a waste ! the plot has more holes than my string vest the special effects were not very good , it did not take much to figure out who the creature 's mother was and the creature owed more than a little debt to predator . anti - climatical this movie could have been done a whole lot better . it does raise one interesting point however . when is hollywood going to discover the rich vein of european folklore out there just waiting to be mined ?	
0	i would like to say something different about this movie . i saw comments how beautiful is russia and the views from russia have been great . hey guys this is not russia it 's bulgaria more specific the capital sofia . so this is not russia it 's my country . about the movie - well in bulgaria , maybe except the grey zone - all movies from american directors are in one word awful like this one of course . it 's a shame that patrick swayze has to play in such a low budget movies . most	
0	this movie was awful ! ashley rose orr , while a talented tap dancer , and singer ( actually a little better than temple was in terms of the latter ) , is a terrible actress . she plays the character as the shirley that we saw on screen in her movies whether she 's playing her onscreen or offscreen persona . so what we get is an overly cutesy , and wholly unrealistic ( not to mention uninteresting ) portrait . if one wants to see that side of her , one can just rent one of her movies	
1	"i saw "" heaven - ship "" ( "" himmelskibet "" ) at the 2006 cinema muto festival in sacile , italy . what a great movie ! this danish steampunk saga is the stirring tale of the first trip to mars , in an era when wireless telegraphy has n't been perfected . the spaceship has n't got a radio , and the heroes are brought back from the landing field via horsecart . even the intertitles are delightful ... some of them written in rhymed couplets in the original danish.<br /><br />the actors ' performances are laughable ,"	
0	this movie was a rather odd viewing experience . the movie is obviously based on a play . now i 'm sure that everything in this movie works out just fine in a play but for in a movie it just does n't feel terribly interesting enough to watch . the movie is way too ' stagey ' and they did n't even bothered to change some of the dialog to make it more fitting for a movie . instead what is presented now is an almost literally re - filming of a stage - play , with over -	
0	2001 is one of those movies where , if you do n't like it , you are told that you do n't ' get it ' and need to look at the deeper meaning and symbolism . you 're told that you clearly have a slow attention span , and just want to see sex , explosions , and have the plot handed to you on a platter.<br /><br />let 's break down the movie shall we ? three minutes of blackness , with something that sounds like a dying hippo in the background . then we get the opening	
0	" black vengeance "" is an alternate title for "" ying hung ho hon "" aka "" tragic hero "" ( 1987 ) . i have just seen this on vhs , together with the first part of the story , "" gong woo ching "" ( "" rich and famous "" ) , also 1987 . ( the poster and 2 stills featured on the page are for a 4-dvd set of movies starring rod perry ( the black gestapo ) , fred williamson ( black cobra 2 ) , richard lawson ( black fist ) . the fourth"	
1	the last of the sequels , not counting abbott and costello meet frankenstein which was more or less a spoof.this time count dracula ( john carridine)takes center stage seeking a cure for his vampirism from a kindly doc(onslow stevens).well good ole larry talbot(lon chaney jr)shows up also seeking a cure.the good doc succeeds in curing larry 's werewolfism , but dracula tricks the doc and ends up contaminating his blood and makes the good doc a crazed lunatic.oh and all this time big franky(glenn strange)lies on a table awaiting his electricity fix so he can wreak some havoc.this was kind	
0	they do ... each sequel is worst . you , who think that ghoulies 2 or 3 need a 1 , please , watch this sequel ... you 'll be wondering with the first three parts . then you 'll give a 10 to the first , 8 to the second and 5 or 6 to the other . that 's because ghoulies 4 really gets the big 1 ( from me it does ) .	
0	"the one line summary is actually the punch line of a very old joke that begins "" what is a jewish porno film?"" < br /><br />while this film had its interesting moments , it was far too slow moving and did not do enough to explain to those of us in the audience unfamiliar with orthodox jewish custom , exactly what was going on and why ? how many people who came across this film would know that the bathtub the female characters were washing in is in reality called a "" mikveh "" which is a ritual bath"	
0	oh how awfully this movie is ! i do n't know if it is a horror film or a drama , cause the story and the both genres are not established very well ! the story is not moving , it is slow , boring , and sleepy from the beginning to end . this movie really bores me ! but i really liked the camera work , it is authentic , fresh and clear , the acting is great too , the little boy was the great performer in this movie , but it has n't made me to	
1	the promise of martin donovan playing jesus was , quite honestly , enough to get me to see the film . definitely worthwhile ; clever and funny without overdoing it . the low - quality filming was probably an appropriate effect but ended up being a little too jarring , and the ending sounded more like a pbs program than hartley . still , too many memorable lines and great moments for me to judge it harshly .	
1	boogie nights is one of the best films to come out of the 90 's and i 'd go so far as to say it should be in the imdb top 250 . i can actually understand why many would dislike it , due to the subject matter . i personally feel however as many do , judging from the aclaim this film 's received by viewers and critics that it 's topnotch film making.<br /><br />the direction and acting in this film surpass good and reach the level of brilliance . there is not one scene in this movie	
1	"note the wide release date of aug 8 , 1945 - about a week before japan surrendered in wwii , so there will probably be a message for us in "" over 21 "" . irene dunne ( it happened one night , the 1939 version of love affair ) is paula wharton , who goes to live on an army base while her newspaper editor husband is in training school . alexander knox ( the longest day ) is her hubby max . look for charles coburn ( monkey business , gentlemen prefer blondes ) as the stuffy ,"	
1	if you keep rigid historical perspective out of it , this film is actually quite entertaining . it 's got action , adventure and romance , and one of the premiere casting match - ups of the era with errol flynn and olivia de havilland in the lead roles . as evident on this board , the picture does n't pass muster with purists who look for one hundred percent accuracy in their story telling . to get beyond that , one need only put aside the history book , and enjoy the story as if it were a work	
0	the filmmakers try to paint the influence of the mondovis and robert parker as a travesty on par with the german occupation of france and the reign of fascism . but they never find a victim in this film . we hear wine makers , critics and distributors bemoan that while the wine industry grows it becomes increasingly homogeneous . but the film never makes a case that this has resulted in the loss of any good wine or exploitation of any person or culture other than naive wine spectator readers with lots of cash . if they want to	
1	i really enjoyed this film , it definitely keeps you on the edge of your seat . it was very well directed . i think it was important that they showed the other couple 's life as well as terry and bobbys and show them as people with emotions . as this film needed to show bobby as a cold and vindictive person.<br /><br />i agree with another review it was sick love , not true love . he did n't need to go to great lengths as murder to give his wife a baby . he should have been	
0	worse than mediocre thriller about an abused wife who goes on the lam after she is linked circumstantially to the death of her husband and sister . determined to prove that her husband is alive she follows leads across the state , her peril increasing at each stop . chasing after her are the traditional ' good - cop ' and ' bad - cop ' pair of partners . one is convinced of her innocence the other more interested in closing the case and getting home . this pair is often able to corner their suspect but never quite	
0	i just watched that movie , and was pretty disappointed . i did n't expect much to begin with as the premise of the movie does n't suggest greatness anyway . sadly , it does n't even manage to deliver just as stupid entertainment . the main problem is probably the acting . while i 've seen far worse actors in far worse movies , the story would require some people to act out as violent maniacs , some others as people caught a in really stressing predicament , and they fail to deliver that . although i watched the	
